"marka"	"ssilka"
"AC"	"https://auto.ru/catalog/cars/ac/"
"Acura"	"https://auto.ru/catalog/cars/acura/"
"Adler"	"https://auto.ru/catalog/cars/adler/"
"Alfa Romeo"	"https://auto.ru/catalog/cars/alfa_romeo/"
"Alpina"	"https://auto.ru/catalog/cars/alpina/"
"Alpine"	"https://auto.ru/catalog/cars/alpine/"
"AM General"	"https://auto.ru/catalog/cars/am_general/"
"AMC"	"https://auto.ru/catalog/cars/amc/"
"Apal"	"https://auto.ru/catalog/cars/apal/"
"Ariel"	"https://auto.ru/catalog/cars/ariel/"
"Aro"	"https://auto.ru/catalog/cars/aro/"
"Asia"	"https://auto.ru/catalog/cars/asia/"
"Aston Martin"	"https://auto.ru/catalog/cars/aston_martin/"
"Auburn"	"https://auto.ru/catalog/cars/auburn/"
"Audi"	"https://auto.ru/catalog/cars/audi/"
"AURUS"	"https://auto.ru/catalog/cars/aurus/"
"Austin"	"https://auto.ru/catalog/cars/austin/"
"Austin Healey"	"https://auto.ru/catalog/cars/austin_healey/"
"Autobianchi"	"https://auto.ru/catalog/cars/autobianchi/"
"BAIC"	"https://auto.ru/catalog/cars/baic/"
"Bajaj"	"https://auto.ru/catalog/cars/bajaj/"
"Baltijas Dzips"	"https://auto.ru/catalog/cars/baltijas_dzips/"
"Batmobile"	"https://auto.ru/catalog/cars/batmobile/"
"Bentley"	"https://auto.ru/catalog/cars/bentley/"
"Bertone"	"https://auto.ru/catalog/cars/bertone/"
"Bilenkin"	"https://auto.ru/catalog/cars/bilenkin/"
"Bio auto"	"https://auto.ru/catalog/cars/bio_auto/"
"Bitter"	"https://auto.ru/catalog/cars/bitter/"
"BMW"	"https://auto.ru/catalog/cars/bmw/"
"Borgward"	"https://auto.ru/catalog/cars/borgward/"
"Brabus"	"https://auto.ru/catalog/cars/brabus/"
"Brilliance"	"https://auto.ru/catalog/cars/brilliance/"
"Bristol"	"https://auto.ru/catalog/cars/bristol/"
"Bufori"	"https://auto.ru/catalog/cars/bufori/"
"Bugatti"	"https://auto.ru/catalog/cars/bugatti/"
"Buick"	"https://auto.ru/catalog/cars/buick/"
"BYD"	"https://auto.ru/catalog/cars/byd/"
"Byvin"	"https://auto.ru/catalog/cars/byvin/"
"Cadillac"	"https://auto.ru/catalog/cars/cadillac/"
"Callaway"	"https://auto.ru/catalog/cars/callaway/"
"Carbodies"	"https://auto.ru/catalog/cars/carbodies/"
"Caterham"	"https://auto.ru/catalog/cars/caterham/"
"Chana"	"https://auto.ru/catalog/cars/chana/"
"Changan"	"https://auto.ru/catalog/cars/changan/"
"ChangFeng"	"https://auto.ru/catalog/cars/changfeng/"
"Changhe"	"https://auto.ru/catalog/cars/changhe/"
"Chery"	"https://auto.ru/catalog/cars/chery/"
"CHERYEXEED"	"https://auto.ru/catalog/cars/cheryexeed/"
"Chevrolet"	"https://auto.ru/catalog/cars/chevrolet/"
"Chrysler"	"https://auto.ru/catalog/cars/chrysler/"
"Citroen"	"https://auto.ru/catalog/cars/citroen/"
"Cizeta"	"https://auto.ru/catalog/cars/cizeta/"
"Coggiola"	"https://auto.ru/catalog/cars/coggiola/"
"Cord"	"https://auto.ru/catalog/cars/cord/"
"Cupra"	"https://auto.ru/catalog/cars/cupra/"
"Dacia"	"https://auto.ru/catalog/cars/dacia/"
"Dadi"	"https://auto.ru/catalog/cars/dadi/"
"Daewoo"	"https://auto.ru/catalog/cars/daewoo/"
"Daihatsu"	"https://auto.ru/catalog/cars/daihatsu/"
"Daimler"	"https://auto.ru/catalog/cars/daimler/"
"Dallara"	"https://auto.ru/catalog/cars/dallara/"
"Datsun"	"https://auto.ru/catalog/cars/datsun/"
"De Tomaso"	"https://auto.ru/catalog/cars/de_tomaso/"
"Deco Rides"	"https://auto.ru/catalog/cars/deco_rides/"
"Delage"	"https://auto.ru/catalog/cars/delage/"
"DeLorean"	"https://auto.ru/catalog/cars/delorean/"
"Derways"	"https://auto.ru/catalog/cars/derways/"
"DeSoto"	"https://auto.ru/catalog/cars/desoto/"
"DKW"	"https://auto.ru/catalog/cars/dkw/"
"Dodge"	"https://auto.ru/catalog/cars/dodge/"
"DongFeng"	"https://auto.ru/catalog/cars/dongfeng/"
"Doninvest"	"https://auto.ru/catalog/cars/doninvest/"
"Donkervoort"	"https://auto.ru/catalog/cars/donkervoort/"
"DS"	"https://auto.ru/catalog/cars/ds/"
"DW Hower"	"https://auto.ru/catalog/cars/dw_hower/"
"E-Car"	"https://auto.ru/catalog/cars/e_car/"
"Eagle"	"https://auto.ru/catalog/cars/eagle/"
"Eagle Cars"	"https://auto.ru/catalog/cars/eagle_cars/"
"Excalibur"	"https://auto.ru/catalog/cars/excalibur/"
"FAW"	"https://auto.ru/catalog/cars/faw/"
"Ferrari"	"https://auto.ru/catalog/cars/ferrari/"
"Fiat"	"https://auto.ru/catalog/cars/fiat/"
"Fisker"	"https://auto.ru/catalog/cars/fisker/"
"Flanker"	"https://auto.ru/catalog/cars/flanker/"
"Ford"	"https://auto.ru/catalog/cars/ford/"
"Foton"	"https://auto.ru/catalog/cars/foton/"
"FSO"	"https://auto.ru/catalog/cars/fso/"
"Fuqi"	"https://auto.ru/catalog/cars/fuqi/"
"GAC"	"https://auto.ru/catalog/cars/gac/"
"Geely"	"https://auto.ru/catalog/cars/geely/"
"Genesis"	"https://auto.ru/catalog/cars/genesis/"
"Geo"	"https://auto.ru/catalog/cars/geo/"
"GMC"	"https://auto.ru/catalog/cars/gmc/"
"Gonow"	"https://auto.ru/catalog/cars/gonow/"
"Gordon"	"https://auto.ru/catalog/cars/gordon/"
"GP"	"https://auto.ru/catalog/cars/gp/"
"Great Wall"	"https://auto.ru/catalog/cars/great_wall/"
"Hafei"	"https://auto.ru/catalog/cars/hafei/"
"Haima"	"https://auto.ru/catalog/cars/haima/"
"Hanomag"	"https://auto.ru/catalog/cars/hanomag/"
"Haval"	"https://auto.ru/catalog/cars/haval/"
"Hawtai"	"https://auto.ru/catalog/cars/hawtai/"
"Heinkel"	"https://auto.ru/catalog/cars/heinkel/"
"Hennessey"	"https://auto.ru/catalog/cars/hennessey/"
"Hindustan"	"https://auto.ru/catalog/cars/hindustan/"
"Hispano-Suiza"	"https://auto.ru/catalog/cars/hispano_suiza/"
"Holden"	"https://auto.ru/catalog/cars/holden/"
"Honda"	"https://auto.ru/catalog/cars/honda/"
"Horch"	"https://auto.ru/catalog/cars/horch/"
"HuangHai"	"https://auto.ru/catalog/cars/huanghai/"
"Hudson"	"https://auto.ru/catalog/cars/hudson/"
"Hummer"	"https://auto.ru/catalog/cars/hummer/"
"Hyundai"	"https://auto.ru/catalog/cars/hyundai/"
"Infiniti"	"https://auto.ru/catalog/cars/infiniti/"
"Innocenti"	"https://auto.ru/catalog/cars/innocenti/"
"International"	"https://auto.ru/catalog/cars/international/"
"Invicta"	"https://auto.ru/catalog/cars/invicta/"
"Iran Khodro"	"https://auto.ru/catalog/cars/iran_khodro/"
"Isdera"	"https://auto.ru/catalog/cars/isdera/"
"Isuzu"	"https://auto.ru/catalog/cars/isuzu/"
"IVECO"	"https://auto.ru/catalog/cars/iveco/"
"JAC"	"https://auto.ru/catalog/cars/jac/"
"Jaguar"	"https://auto.ru/catalog/cars/jaguar/"
"Jeep"	"https://auto.ru/catalog/cars/jeep/"
"Jensen"	"https://auto.ru/catalog/cars/jensen/"
"Jinbei"	"https://auto.ru/catalog/cars/jinbei/"
"JMC"	"https://auto.ru/catalog/cars/jmc/"
"Kia"	"https://auto.ru/catalog/cars/kia/"
"Koenigsegg"	"https://auto.ru/catalog/cars/koenigsegg/"
"KTM AG"	"https://auto.ru/catalog/cars/ktm/"
"LADA (ВАЗ)"	"https://auto.ru/catalog/cars/vaz/"
"Lamborghini"	"https://auto.ru/catalog/cars/lamborghini/"
"Lancia"	"https://auto.ru/catalog/cars/lancia/"
"Land Rover"	"https://auto.ru/catalog/cars/land_rover/"
"Landwind"	"https://auto.ru/catalog/cars/landwind/"
"Lexus"	"https://auto.ru/catalog/cars/lexus/"
"Liebao Motor"	"https://auto.ru/catalog/cars/liebao/"
"Lifan"	"https://auto.ru/catalog/cars/lifan/"
"Ligier"	"https://auto.ru/catalog/cars/ligier/"
"Lincoln"	"https://auto.ru/catalog/cars/lincoln/"
"LiXiang"	"https://auto.ru/catalog/cars/lixiang/"
"Logem"	"https://auto.ru/catalog/cars/logem/"
"Lotus"	"https://auto.ru/catalog/cars/lotus/"
"LTI"	"https://auto.ru/catalog/cars/lti/"
"Lucid"	"https://auto.ru/catalog/cars/lucid/"
"Luxgen"	"https://auto.ru/catalog/cars/luxgen/"
"Mahindra"	"https://auto.ru/catalog/cars/mahindra/"
"Marcos"	"https://auto.ru/catalog/cars/marcos/"
"Marlin"	"https://auto.ru/catalog/cars/marlin/"
"Marussia"	"https://auto.ru/catalog/cars/marussia/"
"Maruti"	"https://auto.ru/catalog/cars/maruti/"
"Maserati"	"https://auto.ru/catalog/cars/maserati/"
"Maybach"	"https://auto.ru/catalog/cars/maybach/"
"Mazda"	"https://auto.ru/catalog/cars/mazda/"
"McLaren"	"https://auto.ru/catalog/cars/mclaren/"
"Mega"	"https://auto.ru/catalog/cars/mega/"
"Mercedes-Benz"	"https://auto.ru/catalog/cars/mercedes/"
"Mercury"	"https://auto.ru/catalog/cars/mercury/"
"Metrocab"	"https://auto.ru/catalog/cars/metrocab/"
"MG"	"https://auto.ru/catalog/cars/mg/"
"Microcar"	"https://auto.ru/catalog/cars/microcar/"
"Minelli"	"https://auto.ru/catalog/cars/minelli/"
"MINI"	"https://auto.ru/catalog/cars/mini/"
"Mitsubishi"	"https://auto.ru/catalog/cars/mitsubishi/"
"Mitsuoka"	"https://auto.ru/catalog/cars/mitsuoka/"
"Morgan"	"https://auto.ru/catalog/cars/morgan/"
"Morris"	"https://auto.ru/catalog/cars/morris/"
"Nash"	"https://auto.ru/catalog/cars/nash/"
"Nio"	"https://auto.ru/catalog/cars/nio/"
"Nissan"	"https://auto.ru/catalog/cars/nissan/"
"Noble"	"https://auto.ru/catalog/cars/noble/"
"Oldsmobile"	"https://auto.ru/catalog/cars/oldsmobile/"
"Opel"	"https://auto.ru/catalog/cars/opel/"
"Osca"	"https://auto.ru/catalog/cars/osca/"
"Packard"	"https://auto.ru/catalog/cars/packard/"
"Pagani"	"https://auto.ru/catalog/cars/pagani/"
"Panoz"	"https://auto.ru/catalog/cars/panoz/"
"Perodua"	"https://auto.ru/catalog/cars/perodua/"
"Peugeot"	"https://auto.ru/catalog/cars/peugeot/"
"PGO"	"https://auto.ru/catalog/cars/pgo/"
"Piaggio"	"https://auto.ru/catalog/cars/piaggio/"
"Plymouth"	"https://auto.ru/catalog/cars/plymouth/"
"Polestar"	"https://auto.ru/catalog/cars/polestar/"
"Pontiac"	"https://auto.ru/catalog/cars/pontiac/"
"Porsche"	"https://auto.ru/catalog/cars/porsche/"
"Premier"	"https://auto.ru/catalog/cars/premier/"
"Proton"	"https://auto.ru/catalog/cars/proton/"
"PUCH"	"https://auto.ru/catalog/cars/puch/"
"Puma"	"https://auto.ru/catalog/cars/puma/"
"Qoros"	"https://auto.ru/catalog/cars/qoros/"
"Qvale"	"https://auto.ru/catalog/cars/qvale/"
"RAM"	"https://auto.ru/catalog/cars/ram/"
"Rambler"	"https://auto.ru/catalog/cars/rambler/"
"Ravon"	"https://auto.ru/catalog/cars/ravon/"
"Reliant"	"https://auto.ru/catalog/cars/reliant/"
"Renaissance"	"https://auto.ru/catalog/cars/renaissance_cars/"
"Renault"	"https://auto.ru/catalog/cars/renault/"
"Renault Samsung"	"https://auto.ru/catalog/cars/samsung/"
"Rezvani"	"https://auto.ru/catalog/cars/rezvani/"
"Rimac"	"https://auto.ru/catalog/cars/rimac/"
"Rinspeed"	"https://auto.ru/catalog/cars/rinspeed/"
"Roewe"	"https://auto.ru/catalog/cars/roewe/"
"Rolls-Royce"	"https://auto.ru/catalog/cars/rolls_royce/"
"Ronart"	"https://auto.ru/catalog/cars/ronart/"
"Rover"	"https://auto.ru/catalog/cars/rover/"
"Saab"	"https://auto.ru/catalog/cars/saab/"
"Saipa"	"https://auto.ru/catalog/cars/saipa/"
"Saleen"	"https://auto.ru/catalog/cars/saleen/"
"Santana"	"https://auto.ru/catalog/cars/santana/"
"Saturn"	"https://auto.ru/catalog/cars/saturn/"
"Scion"	"https://auto.ru/catalog/cars/scion/"
"Sears"	"https://auto.ru/catalog/cars/sears/"
"SEAT"	"https://auto.ru/catalog/cars/seat/"
"Shanghai Maple"	"https://auto.ru/catalog/cars/shanghai_maple/"
"ShuangHuan"	"https://auto.ru/catalog/cars/shuanghuan/"
"Simca"	"https://auto.ru/catalog/cars/simca/"
"Skoda"	"https://auto.ru/catalog/cars/skoda/"
"Smart"	"https://auto.ru/catalog/cars/smart/"
"Soueast"	"https://auto.ru/catalog/cars/soueast/"
"Spectre"	"https://auto.ru/catalog/cars/spectre/"
"Spyker"	"https://auto.ru/catalog/cars/spyker/"
"SsangYong"	"https://auto.ru/catalog/cars/ssang_yong/"
"Steyr"	"https://auto.ru/catalog/cars/steyr/"
"Studebaker"	"https://auto.ru/catalog/cars/studebaker/"
"Subaru"	"https://auto.ru/catalog/cars/subaru/"
"Suzuki"	"https://auto.ru/catalog/cars/suzuki/"
"Talbot"	"https://auto.ru/catalog/cars/talbot/"
"TATA"	"https://auto.ru/catalog/cars/tata/"
"Tatra"	"https://auto.ru/catalog/cars/tatra/"
"Tazzari"	"https://auto.ru/catalog/cars/tazzari/"
"Tesla"	"https://auto.ru/catalog/cars/tesla/"
"Think"	"https://auto.ru/catalog/cars/think/"
"Tianma"	"https://auto.ru/catalog/cars/tianma/"
"Tianye"	"https://auto.ru/catalog/cars/tianye/"
"Tofas"	"https://auto.ru/catalog/cars/tofas/"
"Toyota"	"https://auto.ru/catalog/cars/toyota/"
"Trabant"	"https://auto.ru/catalog/cars/trabant/"
"Tramontana"	"https://auto.ru/catalog/cars/tramontana/"
"Triumph"	"https://auto.ru/catalog/cars/triumph/"
"TVR"	"https://auto.ru/catalog/cars/tvr/"
"Ultima"	"https://auto.ru/catalog/cars/ultima/"
"Vauxhall"	"https://auto.ru/catalog/cars/vauxhall/"
"Vector"	"https://auto.ru/catalog/cars/vector/"
"Venturi"	"https://auto.ru/catalog/cars/venturi/"
"Volkswagen"	"https://auto.ru/catalog/cars/volkswagen/"
"Volvo"	"https://auto.ru/catalog/cars/volvo/"
"Vortex"	"https://auto.ru/catalog/cars/vortex/"
"W Motors"	"https://auto.ru/catalog/cars/w_motors/"
"Wanderer"	"https://auto.ru/catalog/cars/wanderer/"
"Wartburg"	"https://auto.ru/catalog/cars/wartburg/"
"Weltmeister"	"https://auto.ru/catalog/cars/weltmeister/"
"Westfield"	"https://auto.ru/catalog/cars/westfield/"
"Wiesmann"	"https://auto.ru/catalog/cars/wiesmann/"
"Willys"	"https://auto.ru/catalog/cars/willis/"
"Xin Kai"	"https://auto.ru/catalog/cars/xinkai/"
"Xpeng"	"https://auto.ru/catalog/cars/xpeng/"
"Yulon"	"https://auto.ru/catalog/cars/yulon/"
"Zastava"	"https://auto.ru/catalog/cars/zastava/"
"Zenos"	"https://auto.ru/catalog/cars/zenos/"
"Zenvo"	"https://auto.ru/catalog/cars/zenvo/"
"Zibar"	"https://auto.ru/catalog/cars/zibar/"
"Zotye"	"https://auto.ru/catalog/cars/zotye/"
"ZX"	"https://auto.ru/catalog/cars/zx/"
"Автокам"	"https://auto.ru/catalog/cars/avtokam/"
"ГАЗ"	"https://auto.ru/catalog/cars/gaz/"
"ЗАЗ"	"https://auto.ru/catalog/cars/zaz/"
"ЗИЛ"	"https://auto.ru/catalog/cars/zil/"
"ЗиС"	"https://auto.ru/catalog/cars/zis/"
"ИЖ"	"https://auto.ru/catalog/cars/ig/"
"Канонир"	"https://auto.ru/catalog/cars/kanonir/"
"Комбат"	"https://auto.ru/catalog/cars/kombat/"
"ЛуАЗ"	"https://auto.ru/catalog/cars/luaz/"
"Москвич"	"https://auto.ru/catalog/cars/moscvich/"
"СМЗ"	"https://auto.ru/catalog/cars/smz/"
"Спортивные авто и Реплики"	"https://auto.ru/catalog/cars/promo_auto/"
"ТагАЗ"	"https://auto.ru/catalog/cars/tagaz/"
"УАЗ"	"https://auto.ru/catalog/cars/uaz/"
"Ё-мобиль"	"https://auto.ru/catalog/cars/e_mobil/"
